PO NBR,Supplier,Order date,Due Date,Buyer,Bill To,Remarks,Line,Item  Number,QtyOrder,UM
PC180420,PIZ00003  ,04-23-2018,1970-01-01,301367,00038274,SEA.F     ,1,EFDHV11D65T         ,2976,PC,
PC180420,PIZ00003  ,04-23-2018,1970-01-01,301367,00038274,SEA.F     ,2,EFDHV15D65T1        ,26880,PC,
PC180420,PIZ00003  ,04-23-2018,1970-01-01,301367,00038274,SEA.F     ,3,EFDHV15L27T1        ,6528,PC,
PC180420,PIZ00003  ,04-23-2018,1970-01-01,301367,00038274,SEA.F     ,4,EFDHV20D65T1        ,3648,PC,
PC180420,PIZ00003  ,04-23-2018,1970-01-01,301367,00038274,SEA.F     ,5,EFDHV23D65T1        ,2688,PC,
PC180420,PIZ00003  ,04-23-2018,1970-01-01,301367,00038274,SEA.F     ,6,EFDHV25D65T         ,184896,PC,
PC180420,PIZ00003  ,04-23-2018,1970-01-01,301367,00038274,SEA.F     ,7,EFDHV25L27T         ,6240,PC,
PC180420,PIZ00003  ,04-23-2018,1970-01-01,301367,00038274,SEA.F     ,8,EFDHV32D65A         ,792,PC,
PC180420,PIZ00003  ,04-23-2018,1970-01-01,301367,00038274,SEA.F     ,9,EFDHV42D65A         ,1992,PC,
PC180420,PIZ00003  ,04-23-2018,1970-01-01,301367,00038274,SEA.F     ,10,EFU11E652V          ,3000,PC,
PC180420,PIZ00003  ,04-23-2018,1970-01-01,301367,00038274,SEA.F     ,11,EFU14E272V1         ,8000,PC,
PC180420,PIZ00003  ,04-23-2018,1970-01-01,301367,00038274,SEA.F     ,12,EFU14E652V1         ,50000,PC,
PC180420,PIZ00003  ,04-23-2018,1970-01-01,301367,00038274,SEA.F     ,13,EFU8E652V1          ,18000,PC,
PC180420,PIZ00003  ,04-23-2018,1970-01-01,301367,00038274,SEA.F     ,14,EFUHV18D65A         ,38000,PC,
PC180420,PIZ00003  ,04-23-2018,1970-01-01,301367,00038274,SEA.F     ,15,EFUHV18L27A         ,1700,PC,
PC180420,PIZ00003  ,04-23-2018,1970-01-01,301367,00038274,SEA.F     ,16,EFUHV23D65A         ,3500,PC,
