PO NBR,Supplier,Order date,Due Date,Buyer,Bill To,Remarks,Line,Item  Number,QtyOrder,UM
PC190562,PIZ00003  ,02-23-2019,1970-01-01,301367,00038274,SEA.F     ,1,LDAHV12DH6T         ,18000,PC,
PC190562,PIZ00003  ,02-23-2019,1970-01-01,301367,00038274,SEA.F     ,2,LDAHV12LH6T         ,5000,PC,
PC190562,PIZ00003  ,02-23-2019,1970-01-01,301367,00038274,SEA.F     ,3,LDAHV15DH6T         ,8500,PC,
PC190562,PIZ00003  ,02-23-2019,1970-01-01,301367,00038274,SEA.F     ,4,LDAHV15LH6T         ,2500,PC,
PC190562,PIZ00003  ,02-23-2019,1970-01-01,301367,00038274,SEA.F     ,5,LDAHV3DH6T          ,6000,PC,
PC190562,PIZ00003  ,02-23-2019,1970-01-01,301367,00038274,SEA.F     ,6,LDAHV3LH6T          ,5000,PC,
PC190562,PIZ00003  ,02-23-2019,1970-01-01,301367,00038274,SEA.F     ,7,LDAHV5DH6T          ,18000,PC,
PC190562,PIZ00003  ,02-23-2019,1970-01-01,301367,00038274,SEA.F     ,8,LDAHV5LH6T          ,12000,PC,
PC190562,PIZ00003  ,02-23-2019,1970-01-01,301367,00038274,SEA.F     ,9,LDAHV7DH6T          ,20000,PC,
PC190562,PIZ00003  ,02-23-2019,1970-01-01,301367,00038274,SEA.F     ,10,LDAHV7LH6T          ,9000,PC,
PC190562,PIZ00003  ,02-23-2019,1970-01-01,301367,00038274,SEA.F     ,11,LDAHV9DH6T          ,30000,PC,
PC190562,PIZ00003  ,02-23-2019,1970-01-01,301367,00038274,SEA.F     ,12,LDAHV9LH6T          ,8000,PC,
