PO NBR,Supplier,Order date,Due Date,Buyer,Bill To,Remarks,Line,Item  Number,QtyOrder,UM
PC190592,PIZ00003  ,04-21-2019,1970-01-01,301367,00038274,SEA.F     ,1,EFDHV15D65T1        ,15072,PC,
PC190592,PIZ00003  ,04-21-2019,1970-01-01,301367,00038274,SEA.F     ,2,EFDHV15L27T1        ,2400,PC,
PC190592,PIZ00003  ,04-21-2019,1970-01-01,301367,00038274,SEA.F     ,3,EFDHV20D65T1        ,1152,PC,
PC190592,PIZ00003  ,04-21-2019,1970-01-01,301367,00038274,SEA.F     ,4,EFDHV20L27T         ,480,PC,
PC190592,PIZ00003  ,04-21-2019,1970-01-01,301367,00038274,SEA.F     ,5,EFDHV32D65A         ,1152,PC,
PC190592,PIZ00003  ,04-21-2019,1970-01-01,301367,00038274,SEA.F     ,6,EFU11E652V          ,4000,PC,
PC190592,PIZ00003  ,04-21-2019,1970-01-01,301367,00038274,SEA.F     ,7,EFU14E272V1         ,8000,PC,
PC190592,PIZ00003  ,04-21-2019,1970-01-01,301367,00038274,SEA.F     ,8,EFU14E652V1         ,27000,PC,
PC190592,PIZ00003  ,04-21-2019,1970-01-01,301367,00038274,SEA.F     ,9,EFU8E652V1          ,12000,PC,
PC190592,PIZ00003  ,04-21-2019,1970-01-01,301367,00038274,SEA.F     ,10,EFUHV18D65A         ,11000,PC,
PC190592,PIZ00003  ,04-21-2019,1970-01-01,301367,00038274,SEA.F     ,11,EFUHV23D65A         ,3000,PC,
