PO NBR,Supplier,Order date,Due Date,Buyer,Bill To,Remarks,Line,Item  Number,QtyOrder,UM
PC180470,PIZ00003  ,07-26-2018,1970-01-01,301367,00038274,SEA.F     ,1,LDAHV12DH6T         ,10000,PC,
PC180470,PIZ00003  ,07-26-2018,1970-01-01,301367,00038274,SEA.F     ,2,LDAHV12LH6T         ,4000,PC,
PC180470,PIZ00003  ,07-26-2018,1970-01-01,301367,00038274,SEA.F     ,3,LDAHV15DH6T         ,6000,PC,
PC180470,PIZ00003  ,07-26-2018,1970-01-01,301367,00038274,SEA.F     ,4,LDAHV15LH6T         ,3000,PC,
PC180470,PIZ00003  ,07-26-2018,1970-01-01,301367,00038274,SEA.F     ,5,LDAHV3DH6T          ,8000,PC,
PC180470,PIZ00003  ,07-26-2018,1970-01-01,301367,00038274,SEA.F     ,6,LDAHV3LH6T          ,4600,PC,
PC180470,PIZ00003  ,07-26-2018,1970-01-01,301367,00038274,SEA.F     ,7,LDAHV5DH6T          ,14500,PC,
PC180470,PIZ00003  ,07-26-2018,1970-01-01,301367,00038274,SEA.F     ,8,LDAHV5LH6T          ,6000,PC,
PC180470,PIZ00003  ,07-26-2018,1970-01-01,301367,00038274,SEA.F     ,9,LDAHV7DH6T          ,29000,PC,
PC180470,PIZ00003  ,07-26-2018,1970-01-01,301367,00038274,SEA.F     ,10,LDAHV7LH6T          ,8000,PC,
PC180470,PIZ00003  ,07-26-2018,1970-01-01,301367,00038274,SEA.F     ,11,LDAHV9DH6T          ,19000,PC,
PC180470,PIZ00003  ,07-26-2018,1970-01-01,301367,00038274,SEA.F     ,12,LDAHV9LH6T          ,5000,PC,
