PO NBR,Supplier,Order date,Due Date,Buyer,Bill To,Remarks,Line,Item  Number,QtyOrder,UM
PC180474,PIZ00003  ,08-24-2018,1970-01-01,301367,00038274,SEA.F     ,1,EFDHV11D65T         ,1440,PC,
PC180474,PIZ00003  ,08-24-2018,1970-01-01,301367,00038274,SEA.F     ,2,EFDHV15D65T1        ,14880,PC,
PC180474,PIZ00003  ,08-24-2018,1970-01-01,301367,00038274,SEA.F     ,3,EFDHV15L27T1        ,4416,PC,
PC180474,PIZ00003  ,08-24-2018,1970-01-01,301367,00038274,SEA.F     ,4,EFDHV20D65T1        ,3072,PC,
PC180474,PIZ00003  ,08-24-2018,1970-01-01,301367,00038274,SEA.F     ,5,EFDHV23D65T1        ,2688,PC,
PC180474,PIZ00003  ,08-24-2018,1970-01-01,301367,00038274,SEA.F     ,6,EFDHV25D65T         ,199872,PC,
PC180474,PIZ00003  ,08-24-2018,1970-01-01,301367,00038274,SEA.F     ,7,EFDHV25L27T         ,3456,PC,
PC180474,PIZ00003  ,08-24-2018,1970-01-01,301367,00038274,SEA.F     ,8,EFDHV32D65A         ,1776,PC,
PC180474,PIZ00003  ,08-24-2018,1970-01-01,301367,00038274,SEA.F     ,9,EFDHV42D65A         ,2496,PC,
PC180474,PIZ00003  ,08-24-2018,1970-01-01,301367,00038274,SEA.F     ,10,EFU11E652V          ,4200,PC,
PC180474,PIZ00003  ,08-24-2018,1970-01-01,301367,00038274,SEA.F     ,11,EFU14E272V1         ,9500,PC,
PC180474,PIZ00003  ,08-24-2018,1970-01-01,301367,00038274,SEA.F     ,12,EFU14E652V1         ,45000,PC,
PC180474,PIZ00003  ,08-24-2018,1970-01-01,301367,00038274,SEA.F     ,13,EFUHV18D65A         ,13500,PC,
PC180474,PIZ00003  ,08-24-2018,1970-01-01,301367,00038274,SEA.F     ,14,EFUHV18L27A         ,1700,PC,
PC180474,PIZ00003  ,08-24-2018,1970-01-01,301367,00038274,SEA.F     ,15,EFUHV23D65A         ,6500,PC,
