PO NBR,Supplier,Order date,Due Date,Buyer,Bill To,Remarks,Line,Item  Number,QtyOrder,UM
PC160120,PIZ00006  ,09-23-2016,,301367,00038274,SEA.F     ,1,LDAHV8LG4A1         ,1500,PC,
PC160120,PIZ00006  ,09-23-2016,,301367,00038274,SEA.F     ,2,LDAHV8LG4BA         ,1500,PC,
PC160120,PIZ00006  ,09-23-2016,,301367,00038274,SEA.F     ,3,LDAHV10DG4A1        ,2500,PC,
PC160120,PIZ00006  ,09-23-2016,,301367,00038274,SEA.F     ,4,LDAHV10DG4BA        ,2500,PC,
PC160120,PIZ00006  ,09-23-2016,,301367,00038274,SEA.F     ,5,LDAHV10LG4A1        ,2500,PC,
PC160120,PIZ00006  ,09-23-2016,,301367,00038274,SEA.F     ,6,LDAHV10LG4BA        ,2500,PC,
PC160120,PIZ00006  ,09-23-2016,,301367,00038274,SEA.F     ,7,LDAHV7DG4A1         ,1750,PC,
PC160120,PIZ00006  ,09-23-2016,,301367,00038274,SEA.F     ,8,LDAHV7DG4BA         ,1750,PC,
PC160120,PIZ00006  ,09-23-2016,,301367,00038274,SEA.F     ,9,LDAHV7LG4A1         ,1750,PC,
PC160120,PIZ00006  ,09-23-2016,,301367,00038274,SEA.F     ,10,LDAHV7LG4BA         ,1750,PC,
PC160120,PIZ00006  ,09-23-2016,,301367,00038274,SEA.F     ,11,LDAHV8DG4A1         ,1000,PC,
PC160120,PIZ00006  ,09-23-2016,,301367,00038274,SEA.F     ,12,LDAHV8DG4BA         ,1500,PC,
