PO NBR,Supplier,Order date,Due Date,Buyer,Bill To,Remarks,Line,Item  Number,QtyOrder,UM
PC190608,PIZ00003  ,05-24-2019,1970-01-01,301367,00038274,SEA.F     ,1,EFDHV15D65T1        ,16224,PC,
PC190608,PIZ00003  ,05-24-2019,1970-01-01,301367,00038274,SEA.F     ,2,EFDHV15L27T1        ,5952,PC,
PC190608,PIZ00003  ,05-24-2019,1970-01-01,301367,00038274,SEA.F     ,3,EFDHV20D65T1        ,960,PC,
PC190608,PIZ00003  ,05-24-2019,1970-01-01,301367,00038274,SEA.F     ,4,EFDHV23D65T1        ,1920,PC,
PC190608,PIZ00003  ,05-24-2019,1970-01-01,301367,00038274,SEA.F     ,5,EFDHV32D65A         ,1152,PC,
PC190608,PIZ00003  ,05-24-2019,1970-01-01,301367,00038274,SEA.F     ,6,EFDHV42D65A         ,960,PC,
PC190608,PIZ00003  ,05-24-2019,1970-01-01,301367,00038274,SEA.F     ,7,EFU11E652V          ,4000,PC,
PC190608,PIZ00003  ,05-24-2019,1970-01-01,301367,00038274,SEA.F     ,8,EFU14E272V1         ,9500,PC,
PC190608,PIZ00003  ,05-24-2019,1970-01-01,301367,00038274,SEA.F     ,9,EFU14E652V1         ,35000,PC,
PC190608,PIZ00003  ,05-24-2019,1970-01-01,301367,00038274,SEA.F     ,10,EFU8E652V1          ,13000,PC,
PC190608,PIZ00003  ,05-24-2019,1970-01-01,301367,00038274,SEA.F     ,11,EFUHV18D65A         ,12000,PC,
PC190608,PIZ00003  ,05-24-2019,1970-01-01,301367,00038274,SEA.F     ,12,EFUHV23D65A         ,3000,PC,
