PO NBR,Supplier,Order date,Due Date,Buyer,Bill To,Remarks,Line,Item  Number,QtyOrder,UM
PC180525,PIZ00003  ,11-23-2018,1970-01-01,301367,00038274,SEA.F     ,1,EFDHV11D65T         ,3360,PC,
PC180525,PIZ00003  ,11-23-2018,1970-01-01,301367,00038274,SEA.F     ,2,EFDHV15D65T1        ,28800,PC,
PC180525,PIZ00003  ,11-23-2018,1970-01-01,301367,00038274,SEA.F     ,3,EFDHV15L27T1        ,14016,PC,
PC180525,PIZ00003  ,11-23-2018,1970-01-01,301367,00038274,SEA.F     ,4,EFDHV20D65T1        ,1920,PC,
PC180525,PIZ00003  ,11-23-2018,1970-01-01,301367,00038274,SEA.F     ,5,EFDHV23D65T1        ,1920,PC,
PC180525,PIZ00003  ,11-23-2018,1970-01-01,301367,00038274,SEA.F     ,6,EFDHV25D65T         ,216000,PC,
PC180525,PIZ00003  ,11-23-2018,1970-01-01,301367,00038274,SEA.F     ,7,EFDHV25L27T         ,3456,PC,
PC180525,PIZ00003  ,11-23-2018,1970-01-01,301367,00038274,SEA.F     ,8,EFDHV32D65A         ,1800,PC,
PC180525,PIZ00003  ,11-23-2018,1970-01-01,301367,00038274,SEA.F     ,9,EFDHV42D65A         ,2784,PC,
PC180525,PIZ00003  ,11-23-2018,1970-01-01,301367,00038274,SEA.F     ,10,EFU11E652V          ,4200,PC,
PC180525,PIZ00003  ,11-23-2018,1970-01-01,301367,00038274,SEA.F     ,11,EFU14E272V1         ,13200,PC,
PC180525,PIZ00003  ,11-23-2018,1970-01-01,301367,00038274,SEA.F     ,12,EFU8E652V1          ,12000,PC,
PC180525,PIZ00003  ,11-23-2018,1970-01-01,301367,00038274,SEA.F     ,13,EFUHV23D65A         ,5000,PC,
