PO NBR,Supplier,Order date,Due Date,Buyer,Remarks,Line,Item  Number,QtyOrder,UM
PC160064,PIZ00003  ,06-25-2016,,301367,SEA.F     ,1,EFDHV15D65T         ,31680,PC,
PC160064,PIZ00003  ,06-25-2016,,301367,SEA.F     ,2,EFDHV20D65T         ,8640,PC,
PC160064,PIZ00003  ,06-25-2016,,301367,SEA.F     ,3,EFDHV23D65T         ,3168,PC,
PC160064,PIZ00003  ,06-25-2016,,301367,SEA.F     ,4,EFDHV25D65T         ,149760,PC,
PC160064,PIZ00003  ,06-25-2016,,301367,SEA.F     ,5,EFU14E272V          ,11000,PC,
PC160064,PIZ00003  ,06-25-2016,,301367,SEA.F     ,6,EFU14E652V          ,55000,PC,
PC160064,PIZ00003  ,06-25-2016,,301367,SEA.F     ,7,EFU8E652V           ,12000,PC,
PC160064,PIZ00003  ,06-25-2016,,301367,SEA.F     ,8,EFUHV18D65A         ,33000,PC,
PC160064,PIS00023  ,06-25-2016,,301367,SEA.F     ,9,LDAHV10DG4A         ,10000,PC,
PC160064,PIS00023  ,06-25-2016,,301367,SEA.F     ,10,LDAHV12DG4A         ,7000,PC,
PC160064,PIS00023  ,06-25-2016,,301367,SEA.F     ,11,LDAHV12LG4A         ,5000,PC,
PC160064,PIS00023  ,06-25-2016,,301367,SEA.F     ,12,LDAHV2DG4A          ,5000,PC,
PC160064,PIS00023  ,06-25-2016,,301367,SEA.F     ,13,LDAHV2LG4A          ,5000,PC,
PC160064,PIS00023  ,06-25-2016,,301367,SEA.F     ,14,LDAHV4DG4A          ,21600,PC,
PC160064,PIS00023  ,06-25-2016,,301367,SEA.F     ,15,LDAHV7DG4A          ,14400,PC,
PC160064,PIS00023  ,06-25-2016,,301367,SEA.F     ,16,LDAHV7LG4A          ,6300,PC,
PC160064,PIS00023  ,06-25-2016,,301367,SEA.F     ,17,LDAHV8DG4A          ,27000,PC,
PC160064,PIS00023  ,06-25-2016,,301367,SEA.F     ,18,LDAHV8LG4A          ,6300,PC,
