PO NBR,Supplier,Order date,Due Date,Buyer,Bill To,Remarks,Line,Item  Number,QtyOrder,UM
PC170270,PIZ00003  ,05-18-2017,1970-01-01,301367,00038274,SEA.F     ,1,EFDHV11D65T         ,3000,PC,
PC170270,PIZ00003  ,05-18-2017,1970-01-01,301367,00038274,SEA.F     ,2,EFDHV15D65T1        ,18912,PC,
PC170270,PIZ00003  ,05-18-2017,1970-01-01,301367,00038274,SEA.F     ,3,EFDHV15L27T1        ,5472,PC,
PC170270,PIZ00003  ,05-18-2017,1970-01-01,301367,00038274,SEA.F     ,4,EFDHV20D65T1        ,3552,PC,
PC170270,PIZ00003  ,05-18-2017,1970-01-01,301367,00038274,SEA.F     ,5,EFDHV23D65T1        ,3500,PC,
PC170270,PIZ00003  ,05-18-2017,1970-01-01,301367,00038274,SEA.F     ,6,EFDHV25D65T         ,88032,PC,
PC170270,PIZ00003  ,05-18-2017,1970-01-01,301367,00038274,SEA.F     ,7,EFDHV25L27T         ,3168,PC,
PC170270,PIZ00003  ,05-18-2017,1970-01-01,301367,00038274,SEA.F     ,8,EFDHV32D65A         ,2088,PC,
PC170270,PIZ00003  ,05-18-2017,1970-01-01,301367,00038274,SEA.F     ,9,EFDHV42D65A         ,3984,PC,
PC170270,PIZ00003  ,05-18-2017,1970-01-01,301367,00038274,SEA.F     ,10,EFU14E652V1         ,32000,PC,
PC170270,PIZ00003  ,05-18-2017,1970-01-01,301367,00038274,SEA.F     ,11,EFU8E652V1          ,14000,PC,
