PO NBR,Supplier,Order date,Due Date,Buyer,Bill To,Remarks,Line,Item  Number,QtyOrder,UM
PC190651,PIZ00003  ,09-23-2019,1970-01-01,301367,00038274,SEA.F     ,1,EFDHV11D65T         ,960,PC,
PC190651,PIZ00003  ,09-23-2019,1970-01-01,301367,00038274,SEA.F     ,2,EFDHV15D65T1        ,21600,PC,
PC190651,PIZ00003  ,09-23-2019,1970-01-01,301367,00038274,SEA.F     ,3,EFDHV15L27T1        ,4128,PC,
PC190651,PIZ00003  ,09-23-2019,1970-01-01,301367,00038274,SEA.F     ,4,EFDHV20D65T1        ,960,PC,
PC190651,PIZ00003  ,09-23-2019,1970-01-01,301367,00038274,SEA.F     ,5,EFDHV20L27T         ,192,PC,
PC190651,PIZ00003  ,09-23-2019,1970-01-01,301367,00038274,SEA.F     ,6,EFDHV23D65T1        ,960,PC,
PC190651,PIZ00003  ,09-23-2019,1970-01-01,301367,00038274,SEA.F     ,7,EFDHV25D65T         ,120000,PC,
PC190651,PIZ00003  ,09-23-2019,1970-01-01,301367,00038274,SEA.F     ,8,EFDHV25L27T         ,2112,PC,
PC190651,PIZ00003  ,09-23-2019,1970-01-01,301367,00038274,SEA.F     ,9,EFDHV32D65A         ,1200,PC,
PC190651,PIZ00003  ,09-23-2019,1970-01-01,301367,00038274,SEA.F     ,10,EFDHV42D65A         ,1488,PC,
PC190651,PIZ00003  ,09-23-2019,1970-01-01,301367,00038274,SEA.F     ,11,EFU11E652V          ,6000,PC,
PC190651,PIZ00003  ,09-23-2019,1970-01-01,301367,00038274,SEA.F     ,12,EFU14E272V1         ,7200,PC,
PC190651,PIZ00003  ,09-23-2019,1970-01-01,301367,00038274,SEA.F     ,13,EFU14E652V1         ,60000,PC,
PC190651,PIZ00003  ,09-23-2019,1970-01-01,301367,00038274,SEA.F     ,14,EFU8E652V1          ,8000,PC,
PC190651,PIZ00003  ,09-23-2019,1970-01-01,301367,00038274,SEA.F     ,15,EFUHV18D65A         ,50000,PC,
PC190651,PIZ00003  ,09-23-2019,1970-01-01,301367,00038274,SEA.F     ,16,EFUHV23D65A         ,3000,PC,
