PO NBR,Supplier,Order date,Due Date,Buyer,Bill To,Remarks,Line,Item  Number,QtyOrder,UM
PC190632,PIZ00003  ,07-25-2019,1970-01-01,301367,00038274,SEA.F     ,1,EFDHV11D65T         ,1152,PC,
PC190632,PIZ00003  ,07-25-2019,1970-01-01,301367,00038274,SEA.F     ,2,EFDHV15D65T1        ,16224,PC,
PC190632,PIZ00003  ,07-25-2019,1970-01-01,301367,00038274,SEA.F     ,3,EFDHV15L27T1        ,4992,PC,
PC190632,PIZ00003  ,07-25-2019,1970-01-01,301367,00038274,SEA.F     ,4,EFDHV20D65T1        ,960,PC,
PC190632,PIZ00003  ,07-25-2019,1970-01-01,301367,00038274,SEA.F     ,5,EFDHV23D65T1        ,960,PC,
PC190632,PIZ00003  ,07-25-2019,1970-01-01,301367,00038274,SEA.F     ,6,EFDHV25D65T         ,94368,PC,
PC190632,PIZ00003  ,07-25-2019,1970-01-01,301367,00038274,SEA.F     ,7,EFDHV32D65A         ,960,PC,
PC190632,PIZ00003  ,07-25-2019,1970-01-01,301367,00038274,SEA.F     ,8,EFDHV42D65A         ,960,PC,
PC190632,PIZ00003  ,07-25-2019,1970-01-01,301367,00038274,SEA.F     ,9,EFU11E652V          ,6500,PC,
PC190632,PIZ00003  ,07-25-2019,1970-01-01,301367,00038274,SEA.F     ,10,EFU14E272V1         ,8000,PC,
PC190632,PIZ00003  ,07-25-2019,1970-01-01,301367,00038274,SEA.F     ,11,EFU14E652V1         ,33000,PC,
PC190632,PIZ00003  ,07-25-2019,1970-01-01,301367,00038274,SEA.F     ,12,EFU8E652V1          ,10000,PC,
PC190632,PIZ00003  ,07-25-2019,1970-01-01,301367,00038274,SEA.F     ,13,EFUHV18D65A         ,9000,PC,
PC190632,PIZ00003  ,07-25-2019,1970-01-01,301367,00038274,SEA.F     ,14,EFUHV23D65A         ,3000,PC,
