PO NBR,Supplier,Order date,Due Date,Buyer,Bill To,Remarks,Line,Item  Number,QtyOrder,UM
PC160122,PIZ00003  ,09-23-2016,,301367,00038274,SEA.F     ,1,EFDHV11D65L         ,1200,PC,
PC160122,PIZ00003  ,09-23-2016,,301367,00038274,SEA.F     ,2,EFDHV15D65L         ,2796,PC,
PC160122,PIZ00003  ,09-23-2016,,301367,00038274,SEA.F     ,3,EFDHV20D65L         ,9984,PC,
PC160122,PIZ00003  ,09-23-2016,,301367,00038274,SEA.F     ,4,EFDHV23D65L         ,8988,PC,
PC160122,PIZ00003  ,09-23-2016,,301367,00038274,SEA.F     ,5,EFDHV23L27L         ,996,PC,
PC160122,PIZ00003  ,09-23-2016,,301367,00038274,SEA.F     ,6,EFDHV25D65L         ,7968,PC,
PC160122,PIZ00003  ,09-23-2016,,301367,00038274,SEA.F     ,7,EFDHV32D65A         ,492,PC,
PC160122,PIZ00003  ,09-23-2016,,301367,00038274,SEA.F     ,8,EFDHV8D65L          ,2196,PC,
PC160122,PIZ00003  ,09-23-2016,,301367,00038274,SEA.F     ,9,EFUHV11D65L         ,900,PC,
PC160122,PIZ00003  ,09-23-2016,,301367,00038274,SEA.F     ,10,EFUHV14D65L         ,1500,PC,
PC160122,PIZ00003  ,09-23-2016,,301367,00038274,SEA.F     ,11,EFUHV14L27L         ,700,PC,
PC160122,PIZ00003  ,09-23-2016,,301367,00038274,SEA.F     ,12,EFUHV18D65L         ,14000,PC,
PC160122,PIZ00003  ,09-23-2016,,301367,00038274,SEA.F     ,13,EFUHV8D65L          ,800,PC,
