PO NBR,Supplier,Order date,Due Date,Buyer,Bill To,Remarks,Line,Item  Number,QtyOrder,UM
PC190643,PIZ00003  ,08-23-2019,1970-01-01,301367,00038274,SEA.F     ,1,EFDHV25L27T         ,2112,PC,
PC190643,PIZ00003  ,08-23-2019,1970-01-01,301367,00038274,SEA.F     ,2,EFDHV32D65A         ,2106,PC,
PC190643,PIZ00003  ,08-23-2019,1970-01-01,301367,00038274,SEA.F     ,3,EFDHV42D65A         ,2712,PC,
PC190643,PIZ00003  ,08-23-2019,1970-01-01,301367,00038274,SEA.F     ,4,EFU11E652V          ,6000,PC,
PC190643,PIZ00003  ,08-23-2019,1970-01-01,301367,00038274,SEA.F     ,5,EFU14E272V1         ,9000,PC,
PC190643,PIZ00003  ,08-23-2019,1970-01-01,301367,00038274,SEA.F     ,6,EFU14E652V1         ,47000,PC,
PC190643,PIZ00003  ,08-23-2019,1970-01-01,301367,00038274,SEA.F     ,7,EFU8E652V1          ,10000,PC,
PC190643,PIZ00003  ,08-23-2019,1970-01-01,301367,00038274,SEA.F     ,8,EFUHV18D65A         ,36500,PC,
PC190643,PIZ00003  ,08-23-2019,1970-01-01,301367,00038274,SEA.F     ,9,EFUHV23D65A         ,3000,PC,
PC190643,PIZ00003  ,08-23-2019,1970-01-01,301367,00038274,SEA.F     ,10,EFDHV11D65T         ,960,PC,
PC190643,PIZ00003  ,08-23-2019,1970-01-01,301367,00038274,SEA.F     ,11,EFDHV15D65T1        ,20064,PC,
PC190643,PIZ00003  ,08-23-2019,1970-01-01,301367,00038274,SEA.F     ,12,EFDHV15L27T1        ,4992,PC,
PC190643,PIZ00003  ,08-23-2019,1970-01-01,301367,00038274,SEA.F     ,13,EFDHV20D65T1        ,1152,PC,
PC190643,PIZ00003  ,08-23-2019,1970-01-01,301367,00038274,SEA.F     ,14,EFDHV20L27T1        ,240,PC,
PC190643,PIZ00003  ,08-23-2019,1970-01-01,301367,00038274,SEA.F     ,15,EFDHV23D65T1        ,960,PC,
PC190643,PIZ00003  ,08-23-2019,1970-01-01,301367,00038274,SEA.F     ,16,EFDHV25D65T         ,110016,PC,
