PO NBR,Supplier,Order date,Due Date,Buyer,Bill To,Remarks,Line,Item  Number,QtyOrder,UM
PC190614,PIZ00003  ,06-23-2019,1970-01-01,301367,00038274,SEA.F     ,1,LDAHV12DH6T         ,22000,PC,
PC190614,PIZ00003  ,06-23-2019,1970-01-01,301367,00038274,SEA.F     ,2,LDAHV12LH6T         ,4000,PC,
PC190614,PIZ00003  ,06-23-2019,1970-01-01,301367,00038274,SEA.F     ,3,LDAHV15DH6T         ,8000,PC,
PC190614,PIZ00003  ,06-23-2019,1970-01-01,301367,00038274,SEA.F     ,4,LDAHV15LH6T         ,1800,PC,
PC190614,PIZ00003  ,06-23-2019,1970-01-01,301367,00038274,SEA.F     ,5,LDAHV20DH5T         ,4400,PC,
PC190614,PIZ00003  ,06-23-2019,1970-01-01,301367,00038274,SEA.F     ,6,LDAHV30DH5T         ,1500,PC,
PC190614,PIZ00003  ,06-23-2019,1970-01-01,301367,00038274,SEA.F     ,7,LDAHV3DH6T          ,7000,PC,
PC190614,PIZ00003  ,06-23-2019,1970-01-01,301367,00038274,SEA.F     ,8,LDAHV3LH6T          ,4500,PC,
PC190614,PIZ00003  ,06-23-2019,1970-01-01,301367,00038274,SEA.F     ,9,LDAHV5DH6T          ,14400,PC,
PC190614,PIZ00003  ,06-23-2019,1970-01-01,301367,00038274,SEA.F     ,10,LDAHV5LH6T          ,8100,PC,
PC190614,PIZ00003  ,06-23-2019,1970-01-01,301367,00038274,SEA.F     ,11,LDAHV7DH6T          ,32000,PC,
PC190614,PIZ00003  ,06-23-2019,1970-01-01,301367,00038274,SEA.F     ,12,LDAHV7LH6T          ,9000,PC,
PC190614,PIZ00003  ,06-23-2019,1970-01-01,301367,00038274,SEA.F     ,13,LDAHV9DH6T          ,22000,PC,
PC190614,PIZ00003  ,06-23-2019,1970-01-01,301367,00038274,SEA.F     ,14,LDAHV9LH6T          ,8500,PC,
