PO NBR,Supplier,Order date,Due Date,Buyer,Bill To,Remarks,Line,Item  Number,QtyOrder,UM
PC180534,PIZ00003  ,12-24-2018,1970-01-01,301367,00038274,SEA.F     ,1,EFDHV15D65T1        ,16224,PC,
PC180534,PIZ00003  ,12-24-2018,1970-01-01,301367,00038274,SEA.F     ,2,EFDHV15L27T1        ,7200,PC,
PC180534,PIZ00003  ,12-24-2018,1970-01-01,301367,00038274,SEA.F     ,3,EFDHV20D65T1        ,960,PC,
PC180534,PIZ00003  ,12-24-2018,1970-01-01,301367,00038274,SEA.F     ,4,EFDHV23D65T1        ,1920,PC,
PC180534,PIZ00003  ,12-24-2018,1970-01-01,301367,00038274,SEA.F     ,5,EFDHV25L27T         ,2112,PC,
PC180534,PIZ00003  ,12-24-2018,1970-01-01,301367,00038274,SEA.F     ,6,EFDHV32D65A         ,1296,PC,
PC180534,PIZ00003  ,12-24-2018,1970-01-01,301367,00038274,SEA.F     ,7,EFU11E652V          ,4200,PC,
PC180534,PIZ00003  ,12-24-2018,1970-01-01,301367,00038274,SEA.F     ,8,EFU14E272V1         ,11700,PC,
PC180534,PIZ00003  ,12-24-2018,1970-01-01,301367,00038274,SEA.F     ,9,EFU14E652V1         ,65000,PC,
PC180534,PIZ00003  ,12-24-2018,1970-01-01,301367,00038274,SEA.F     ,10,EFU8E652V1          ,10800,PC,
PC180534,PIZ00003  ,12-24-2018,1970-01-01,301367,00038274,SEA.F     ,11,EFUHV18D65A         ,5000,PC,
PC180534,PIZ00003  ,12-24-2018,1970-01-01,301367,00038274,SEA.F     ,12,EFUHV23D65A         ,5000,PC,
