PO NBR,Supplier,Order date,Due Date,Buyer,Bill To,Remarks,Line,Item  Number,QtyOrder,UM
PC170315,PIZ00003  ,08-19-2017,1970-01-01,301367,00038274,SEA.F     ,1,EFDHV11D65T         ,1056,PC,
PC170315,PIZ00003  ,08-19-2017,1970-01-01,301367,00038274,SEA.F     ,2,EFDHV20D65T1        ,384,PC,
PC170315,PIZ00003  ,08-19-2017,1970-01-01,301367,00038274,SEA.F     ,3,EFDHV23D65T1        ,5976,PC,
PC170315,PIZ00003  ,08-19-2017,1970-01-01,301367,00038274,SEA.F     ,4,EFDHV25D65T         ,29952,PC,
PC170315,PIZ00003  ,08-19-2017,1970-01-01,301367,00038274,SEA.F     ,5,EFDHV25L27T         ,6912,PC,
PC170315,PIZ00003  ,08-19-2017,1970-01-01,301367,00038274,SEA.F     ,6,EFDHV42D65A         ,3000,PC,
PC170315,PIZ00003  ,08-19-2017,1970-01-01,301367,00038274,SEA.F     ,7,EFU11E652V          ,6000,PC,
PC170315,PIZ00003  ,08-19-2017,1970-01-01,301367,00038274,SEA.F     ,8,EFU8E652V1          ,13000,PC,
PC170315,PIZ00003  ,08-19-2017,1970-01-01,301367,00038274,SEA.F     ,9,EFUHV18D65A         ,35000,PC,
PC170315,PIZ00003  ,08-19-2017,1970-01-01,301367,00038274,SEA.F     ,10,EFUHV18L27A         ,800,PC,
PC170315,PIZ00003  ,08-19-2017,1970-01-01,301367,00038274,SEA.F     ,11,EFUHV23D65A         ,5500,PC,
