PO NBR,Supplier,Order date,Due Date,Buyer,Bill To,Remarks,Line,Item  Number,QtyOrder,UM
PC180485,PIZ00003  ,09-23-2018,1970-01-01,301367,00038274,SEA.F     ,1,EFDHV11D65T         ,3360,PC,
PC180485,PIZ00003  ,09-23-2018,1970-01-01,301367,00038274,SEA.F     ,2,EFDHV15D65T1        ,19968,PC,
PC180485,PIZ00003  ,09-23-2018,1970-01-01,301367,00038274,SEA.F     ,3,EFDHV15L27T1        ,8352,PC,
PC180485,PIZ00003  ,09-23-2018,1970-01-01,301367,00038274,SEA.F     ,4,EFDHV20D65T1        ,2112,PC,
PC180485,PIZ00003  ,09-23-2018,1970-01-01,301367,00038274,SEA.F     ,5,EFDHV23D65T1        ,4800,PC,
PC180485,PIZ00003  ,09-23-2018,1970-01-01,301367,00038274,SEA.F     ,6,EFDHV25D65T         ,252864,PC,
PC180485,PIZ00003  ,09-23-2018,1970-01-01,301367,00038274,SEA.F     ,7,EFDHV25L27T         ,3456,PC,
PC180485,PIZ00003  ,09-23-2018,1970-01-01,301367,00038274,SEA.F     ,8,EFDHV32D65A         ,2400,PC,
PC180485,PIZ00003  ,09-23-2018,1970-01-01,301367,00038274,SEA.F     ,9,EFDHV42D65A         ,3480,PC,
PC180485,PIZ00003  ,09-23-2018,1970-01-01,301367,00038274,SEA.F     ,10,EFU11E652V          ,4200,PC,
PC180485,PIZ00003  ,09-23-2018,1970-01-01,301367,00038274,SEA.F     ,11,EFU14E272V1         ,10000,PC,
PC180485,PIZ00003  ,09-23-2018,1970-01-01,301367,00038274,SEA.F     ,12,EFU14E652V1         ,60000,PC,
PC180485,PIZ00003  ,09-23-2018,1970-01-01,301367,00038274,SEA.F     ,13,EFU8E652V1          ,13200,PC,
PC180485,PIZ00003  ,09-23-2018,1970-01-01,301367,00038274,SEA.F     ,14,EFUHV18D65A         ,20000,PC,
PC180485,PIZ00003  ,09-23-2018,1970-01-01,301367,00038274,SEA.F     ,15,EFUHV18L27A         ,1500,PC,
PC180485,PIZ00003  ,09-23-2018,1970-01-01,301367,00038274,SEA.F     ,16,EFUHV23D65A         ,8000,PC,
