PO NBR,Supplier,Order date,Due Date,Buyer,Remarks,Line,Item  Number,QtyOrder,UM
PC160112,PIZ00006  ,09-13-2016,1970-01-01,301367,SEA.F     ,1,LDAHV5DG4A          ,1000,PC,
PC160112,PIZ00006  ,09-13-2016,1970-01-01,301367,SEA.F     ,2,LDAHV2DG4A          ,1000,PC,
PC160112,PIZ00006  ,09-13-2016,1970-01-01,301367,SEA.F     ,3,LDAHV4DG4A          ,1000,PC,
PC160112,PIZ00006  ,09-13-2016,1970-01-01,301367,SEA.F     ,4,LDAHV10DG4A         ,1000,PC,
PC160112,PIZ00006  ,09-13-2016,1970-01-01,301367,SEA.F     ,5,LDAHV8DG4A          ,1000,PC,
PC160112,PIZ00006  ,09-13-2016,1970-01-01,301367,SEA.F     ,6,LDAHV7DG4A          ,1000,PC,
PC160112,PIZ00006  ,09-13-2016,1970-01-01,301367,SEA.F     ,7,LDAHV2DG4BB         ,1000,PC,
PC160112,PIZ00006  ,09-13-2016,1970-01-01,301367,SEA.F     ,8,LDAHV4DG4BB         ,1000,PC,
PC160112,PIZ00006  ,09-13-2016,1970-01-01,301367,SEA.F     ,9,LDAHV5DG4BB         ,1000,PC,
PC160112,PIZ00006  ,09-13-2016,1970-01-01,301367,SEA.F     ,10,LDAHV8DG4BB         ,1000,PC,
PC160112,PIZ00006  ,09-13-2016,1970-01-01,301367,SEA.F     ,11,LDAHV7DG4BB         ,1000,PC,
PC160112,PIZ00006  ,09-13-2016,1970-01-01,301367,SEA.F     ,12,LDAHV10DG4BB        ,1000,PC,
